Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0SiOYtxmMk1zHrbHHwgx44,"Starlight","Starlight","Cannons",2026-01-30,201600,47,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-02-04T21:35:43Z,"","Columbia",0.721,0.855,0,-4.93,1,0.0335,0.00148,0.0000286,0.307,0.926,125.001,4
spotify:track:5tlWfIu4uaZthTMj7xKw8d,"Looper","Nothing Left To Lose","Jai Wolf;Lyncs",2026-01-09,180847,33,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-02-04T21:35:54Z,"","Club Babu",0.557,0.816,11,-5.913,1,0.0423,0.0888,0,0.165,0.861,75.009,4
spotify:track:2MTT4dEGbEbXdps9Br6H2D,"Rush","Rush","Quentyn;ASHWYN;Pikes",2019-05-17,247200,29,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:33:06Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop,indian indie,hindi indie","Enroute Records",0.513,0.681,0,-6.677,1,0.0419,0.0265,0.000168,0.0811,0.101,100.003,4
spotify:track:1vLsSR97REbqD3Kg85CgnR,"Magical","Back to the Start","VOTA",2026-01-23,230415,27,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-03-02T23:00:10Z,"christian alternative rock,christian rock,christian pop,ccm,christian","VOTA",0.536,0.859,11,-5.984,0,0.0595,0.0024,0.0169,0.103,0.434,110.968,4
spotify:track:1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,87,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-29T02:55:23Z,"indie","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,"Midnight City","Hurry up, We're Dreaming","M83",2011-10-17,243960,84,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:25:10Z,"","M83 Recording Inc",0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,4
spotify:track:3A02hWQ2ebOFDWSbAMNnpw,"bittersweet","bittersweet","Madison Beer",2025-10-10,202795,76,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-02-04T21:40:07Z,"","Epic/Sing It Loud",0.628,0.619,5,-7.229,1,0.0372,0.735,0.00123,0.214,0.177,109.971,4
spotify:track:3TKqaTuPbSOKSEC4ZRuGKE,"Say My Name","Say My Name","Rehaan",2021-10-22,191005,9,true,31fbt6emcoxmk5qa2a7baclxbumq,2026-02-19T02:02:48Z,"indian indie","Kaalo",0.401,0.414,2,-11.575,0,0.0388,0.272,0,0.261,0.122,131.017,4
spotify:track:0Qf8M0XuBxUacEh6b2Ejtu,"Hold for Applause","Hold for Applause","VOTA",2025-12-05,199449,16,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-04-08T18:58:04Z,"christian alternative rock,christian rock,christian pop,ccm,christian","VOTA",0.47,0.842,2,-5.462,1,0.04,0.00148,0.000434,0.164,0.223,85.964,4
spotify:track:7yT4NJt5rgmVoMJMGPULcj,"Backseat","Backseat","Balu Brigada",2025-05-29,383400,67,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-01-31T11:21:38Z,"","WM Australia",0.345,0.812,1,-5.407,1,0.167,0.000921,0.00248,0.678,0.216,126.065,4
spotify:track:69BLn8ArS8AQNHAsbN4Vh6,"Strangers - Spin Session","Polydans (Deluxe)","Roosevelt",2021-11-22,220887,23,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-06-11T23:03:51Z,"nu disco","City Slang",0.621,0.932,1,-3.431,0,0.0801,0.0101,0.125,0.255,0.802,106.023,4
spotify:track:4Tp6wBCcwjnxCOafmuYYfN,"Back for More","Back for More","Glassio",2018-03-21,208022,45,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-06-11T23:03:51Z,"","Glassio",0.722,0.69,0,-7.203,1,0.0349,0.173,0.471,0.0954,0.851,141.974,4
spotify:track:5p5Q5EZ8B1uaNChvTEdUcT,"Cherry","Cherry","Chief Davey",2026-04-24,228739,16,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-04-30T03:17:23Z,"dream pop","Davey Recordings Exclusive",0.674,0.482,0,-11.998,1,0.0321,0.227,0.00201,0.326,0.611,99.005,4
spotify:track:7FnJZhvkUyUyBBZP7qzQNC,"dreamboy","dreamboy","Aj Summers",2026-05-01,152978,16,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-05-05T19:08:49Z,"","Aj Summers",0.623,0.691,1,-7.556,1,0.0308,0.487,0.00000304,0.163,0.905,140.984,4
spotify:track:7sH9vN5ziCJ3snQ2nxJtMG,"Swirl - Roosevelt Remix","Swirl (Roosevelt Remix)","Anna of the North;Roosevelt",2023-11-17,303142,35,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-06-11T23:03:51Z,"nu disco","Elektra (NEK)",0.747,0.704,4,-7.08,0,0.0402,0.0521,0.57,0.264,0.896,122.987,4
spotify:track:7eqIZPAPLQhkjSVTzBT7UR,"Cherry Blossom","Ask That God","Empire Of The Sun",2024-07-26,207587,69,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-06-11T23:03:51Z,"","EMI Recorded Music Australia Pty Ltd",0.639,0.838,5,-5.496,0,0.0571,0.00581,0.0000175,0.106,0.565,131.99,4
spotify:track:0hhXziDUO0wNYPsstDQWN6,"Overnight","Overnight","Parcels",2017-06-21,219604,74,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:24:16Z,"indie soul","Because Music",0.815,0.819,8,-9.494,0,0.0521,0.364,0.0555,0.115,0.864,119.986,4
spotify:track:1BEFLu17OpJiNGmHlIr2Gi,"SOS","SOS","Bloome;Anna Vaverková",2025-04-04,229000,12,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-01-19T06:29:07Z,"","Bloome Records",0.562,0.662,8,-6.873,1,0.0341,0.0477,0.00025,0.0844,0.401,165.944,4
spotify:track:5J93Gf1PzK3uDW8g9YJexY,"Dark Eyes","RUNNING WILD","Cameron Dallas",2026-03-01,109759,26,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-05-08T18:02:51Z,"","DGA RECORDS",0.606,0.718,11,-9.613,0,0.0477,0.00000853,0.673,0.146,0.494,135.017,4
spotify:track:5xMAkOg7tXobJDKGNqkAHR,"Phases","Tempest/Phases","Radical Bicep",2023-07-14,240000,0,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-07-04T19:08:03Z,"synthwave,synthpop,city pop","Radical Bicep",0.525,0.917,1,-6.595,1,0.0366,0.248,0.802,0.113,0.413,119.985,4
spotify:track:7sIL8ucz0xrFaUi6AJyU1l,"Home Is Where The Heart","Home Is Where The Heart","Prithvi Prakash;ASHWYN",2024-06-07,169805,36,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-19T00:22:15Z,"indian indie,hindi indie,synthpop","ASHWYN",0.637,0.523,11,-8.496,1,0.0279,0.826,0.000458,0.13,0.423,87.054,4
spotify:track:31rxyN4wbJno1rZx5jc9bi,"Great Divide","Great Divide","Frankie Fame",2026-05-29,155321,29,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-06-07T05:21:51Z,"","Fame Records",0.707,0.568,5,-8.278,0,0.0671,0.172,0.0627,0.177,0.498,100.021,4
spotify:track:4o0LyB69tylqDG6eTGhmig,"Fire for You","Shadows","Cannons",2019-07-12,231825,79,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:31:31Z,"","Columbia",0.737,0.678,6,-7.011,0,0.0962,0.114,0.157,0.123,0.698,102.051,4
spotify:track:07AbRgKmb5KfppwtZbZqDI,"Slipping Away","Sunsetter","LEISURE",2021-12-03,235506,72,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:29:24Z,"indie soul","Nettwerk Music Group",0.693,0.547,11,-9.02,0,0.041,0.42,0.141,0.102,0.774,77.968,4
spotify:track:0ccoGCaOFCxI6pHixrQpKj,"Neverender","Neverender","Justice;Tame Impala",2024-04-25,266493,66,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:53:23Z,"french house,new rave,neo-psychedelic,indie","Genesis",0.563,0.44,6,-10.01,0,0.0608,0.0258,0.00000762,0.227,0.417,116.988,4
spotify:track:7Jl0x8LUWgi3Kavjo7nkvU,"Reflection","Reflection","VERSØ",2026-06-15,265674,15,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-07-03T22:45:19Z,"","10199155 Records DK2",0.503,0.55,0,-7.267,0,0.0444,0.0304,0.00000159,0.206,0.23,101.982,4
spotify:track:2Q7PDjPz7h559wBF97lO07,"High And Low","Two Vines","Empire Of The Sun",2016-10-28,224840,5,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:28:53Z,"","EMI Recorded Music Australia Pty Ltd",0.512,0.768,1,-4.673,1,0.045,0.0213,0.0000032,0.0918,0.322,126.907,4
spotify:track:1q1OFjJLcbwCM10qYw6C1w,"Born Again","Born Again","Hugo One",2025-12-12,156683,19,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-05-08T18:22:12Z,"","Hugo One",0.581,0.925,2,-3.619,1,0.0723,0.0267,0,0.0284,0.886,167.816,4
spotify:track:48XkVAagIoQHCsOlJtXUd5,"still feel.","Now, Not Yet","half•alive",2019-08-09,247787,64,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:37:53Z,"","half·alive/RCA Records",0.779,0.516,10,-6.467,0,0.0521,0.148,0,0.0492,0.715,120.026,4
spotify:track:5YzGhWdwfZJbSzHfzLUlDZ,"Wide Awake","Skar","ASHWYN;Vrchvic",2022-11-11,210215,29,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-05-02T23:21:56Z,"synthpop,indian indie,hindi indie","ASHWYN",0.607,0.71,9,-6.137,1,0.0378,0.174,0.00438,0.158,0.244,124.963,4
spotify:track:5eS3xEJYIyRb5OEYngENtj,"Dance With Me","Dance With Me","Born Runner",2026-06-19,201769,29,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-06-22T17:49:53Z,"","1284548 Records DK2",0.69,0.828,0,-7.606,1,0.0399,0.000371,0.0749,0.48,0.612,112.999,4
spotify:track:3HIdbLmJpg6aPULSgCBmNn,"Vibe Like This (feat. Ty Dolla $ign & Lucky Daye)","AudioLust & HigherLove","SG Lewis;Ty Dolla $ign;Lucky Daye",2023-01-27,227435,47,true,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:30:32Z,"trap soul","EMI",0.541,0.802,10,-5.572,0,0.237,0.00275,0,0.337,0.729,98.703,4
spotify:track:5ieLgTo5CXbIgoO0X2KJHf,"Strangers","Polydans","Roosevelt",2021-02-26,220726,60,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:29:04Z,"nu disco","City Slang",0.657,0.879,0,-4.91,0,0.0741,0.0688,0.776,0.0799,0.901,106.016,4
spotify:track:058srqtZ5U9HnWjBs2rhD2,"Skar","Skar","ASHWYN",2022-11-11,160800,26,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:33:44Z,"synthpop,indian indie,hindi indie","ASHWYN",0.427,0.596,2,-6.767,1,0.037,0.585,0.0327,0.0935,0.128,99.862,4
spotify:track:2oap3QptGISyIvwKpnJJId,"Experience","JAGUAR","Victoria Monét;Khalid;SG Lewis",2020-08-07,176773,57,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:29:57Z,"alternative r&b","Tribe Records",0.614,0.809,9,-4.749,1,0.0738,0.0105,0.000353,0.148,0.354,112.023,4
spotify:track:12YAZNNm2OuSgDBKjFQcNm,"Montreal","Elliot","Roosevelt",2013-08-19,236335,58,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:24:01Z,"nu disco","Tambourine Dreams Records",0.669,0.642,5,-9.004,1,0.0513,0.00221,0.834,0.203,0.838,115.973,4
spotify:track:6zTbYrkYJSiNOw6jL7nM5H,"Slow Song (with Dragonette)","HISTORY","The Knocks;Dragonette",2022-04-29,253723,58,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:31:43Z,"nu disco","Big Beat Records",0.77,0.743,6,-3.251,1,0.0299,0.0205,0.0003,0.144,0.843,123.014,4
spotify:track:1AJoCRk4TO9fMu4P045uLC,"DISCO (FT. TOMMY GENESIS)","DISCO (FT. TOMMY GENESIS)","Nessa Barrett;Tommy Genesis",2024-10-18,197586,41,true,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:27:21Z,"","Warner Records",0.622,0.734,7,-6.404,0,0.132,0.243,0.0000179,0.114,0.232,99.104,4
spotify:track:0ftM9Xz65hXimNBfZ6l3vQ,"Come Alive","Fever Dream","Cannons",2022-03-25,201600,49,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:32:00Z,"","Columbia",0.705,0.749,4,-6.265,0,0.0396,0.000658,0.167,0.0655,0.621,99.999,4
spotify:track:0NUsMgXjITsbxk5WC4aleu,"Don't Look Down (feat. BANKS)","Don't Look Down (feat. BANKS)","Jai Wolf;BANKS",2023-08-04,205423,1,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-03-27T10:27:51Z,"","Mom+Pop",0.66,0.747,1,-7.351,0,0.0512,0.0269,0.00402,0.0968,0.531,117.954,4
spotify:track:6t8qmBN9YOh5sVKLKWKx7G,"Begin Again","Begin Again","ASHWYN",2020-05-15,187659,10,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-06-06T13:45:48Z,"synthpop,indian indie,hindi indie","ASHWYN",0.537,0.757,5,-5.127,0,0.0351,0.112,0,0.21,0.336,109.868,4
spotify:track:2WZwPv9no6rPUSLTABF1uy,"Holding On","In a Heartbeat","Cannons",2018-07-13,226833,55,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-14T19:14:22Z,"","Cannons",0.685,0.629,5,-9.212,0,0.0562,0.233,0.743,0.074,0.612,89.998,4
spotify:track:1SJ7eKG6Ha5opLNxlXXvwa,"Lonely Nights","Sunsetter","LEISURE",2021-12-03,200093,65,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:54:58Z,"indie soul","Nettwerk Music Group",0.688,0.596,5,-7.698,0,0.0298,0.124,0.0321,0.244,0.718,104.06,4
spotify:track:0rdWkO7ncrh1lrJGDmLq9L,"Gamesofluck","Gamesofluck","Parcels",2016-10-28,348093,73,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:55:12Z,"indie soul","Because Music",0.659,0.757,9,-5.275,0,0.038,0.128,0.485,0.0859,0.553,104.997,4
spotify:track:7lc8voOdwUNHFivW7B1g2z,"Talk Talk","Shadows","Cannons",2019-07-12,215574,53,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:55:17Z,"","Columbia",0.699,0.801,9,-5.708,1,0.0239,0.129,0.842,0.0951,0.909,106.977,4
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,"Music On The Radio","Ask That God","Empire Of The Sun",2024-07-26,176196,67,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:55:22Z,"","EMI Recorded Music Australia Pty Ltd",0.766,0.817,10,-3.063,0,0.0649,0.118,0.0000276,0.135,0.831,115.963,4
spotify:track:1VyxVzr6VF7HDcO5oG5agN,"Moving On","Roosevelt","Roosevelt",2016-08-19,283007,52,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:55:39Z,"nu disco","City Slang",0.582,0.913,1,-6.517,1,0.0386,0.0287,0.666,0.331,0.715,105.012,4
spotify:track:3QtNPpwrajozNB5AORHYzP,"Take You Higher","Sunsetter","LEISURE",2021-12-03,228853,66,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:56:07Z,"indie soul","Nettwerk Music Group",0.787,0.51,10,-8.306,0,0.0391,0.0339,0.0371,0.114,0.745,98.02,4
spotify:track:47HfVFpxiuAygbLBJFnhAF,"Been Too Long","Been Too Long","Back Talk;Lizzy Land",2020-09-09,212053,17,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:55:35Z,"","Lights & Music Collective",0.643,0.657,10,-6.725,0,0.0313,0.0168,0,0.118,0.344,105.988,4
spotify:track:5wWkCGoOrb2px2jWcJAFaP,"Keep Chasing Stars","Keep Chasing Stars","Skinny Dipp;Sound Casino",2016-09-14,199053,48,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-04-26T22:55:51Z,"nu disco","Red Carpet Recordings",0.674,0.646,4,-8.129,0,0.0263,0.181,0.000864,0.0922,0.728,119.993,4
spotify:track:1ayhhGFc4teYQahLxySFSN,"Real Life (feat. Cannons)","HISTORY","The Knocks;Cannons",2022-04-29,203277,47,false,31fbt6emcoxmk5qa2a7baclxbumq,2025-06-11T23:03:51Z,"nu disco","Big Beat Records",0.692,0.855,4,-4.141,0,0.0403,0.014,0.00402,0.0862,0.726,110.998,4
spotify:track:2NiZC2YFixlWoRJ8zuJbXz,"Daze","Daze","Madeliene Cope",2026-03-13,208200,15,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-04-15T00:52:55Z,"","Madeliene Cope",0.557,0.513,9,-8.775,0,0.0426,0.329,0.000211,0.121,0.0575,116.96,4
spotify:track:5hu1KsIBIoa3bTzHW3rBRb,"She's In Love With The City","She's In Love With The City","MYLS COHL",2026-04-17,204137,25,false,31fbt6emcoxmk5qa2a7baclxbumq,2026-05-01T23:51:43Z,"","CITY LVRZ",0.517,0.686,7,-9.631,0,0.0414,0.0983,0.0000146,0.112,0.297,174.034,4
